file_name,original_size,resized_size,filetype,public_id,url,upload_date
img_5659_EP.jpg,1686168,1553446,.jpg,Uploads/lifestyle 17/img_5659_EP.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758024748/Uploads/lifestyle%2017/img_5659_EP.jpg.jpg,2025-09-16T13:12:28.695826
FRQ_XMAS_LIGHTS 6.jpg,1942093,1553781,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 6.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758023028/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%206.jpg.jpg,2025-09-16T12:43:48.539440
FRQ_XMAS_LIGHTS 35.jpg,1993688,1565515,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 35.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022993/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2035.jpg.jpg,2025-09-16T12:43:14.113247
FRQ_XMAS_LIGHTS 10.jpg,2013036,1577042,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 10.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022959/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2010.jpg.jpg,2025-09-16T12:42:39.925518
img_5673_EP.jpg,1702791,1581551,.jpg,Uploads/lifestyle 17/img_5673_EP.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758024756/Uploads/lifestyle%2017/img_5673_EP.jpg.jpg,2025-09-16T13:12:37.021886
FRQ_XMAS_LIGHTS 29.jpg,2030209,1596041,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 29.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022985/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2029.jpg.jpg,2025-09-16T12:43:06.753956
FRQ_XMAS_LIGHTS 5.jpg,2026283,1609283,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 5.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758023014/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%205.jpg.jpg,2025-09-16T12:43:34.493319
FRQ_XMAS_LIGHTS 34.jpg,2074053,1638898,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 34.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758022992/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2034.jpg.jpg,2025-09-16T12:43:13.150390
FRQ_XMAS_LIGHTS 59.jpg,2201142,1641203,.jpg,Uploads/lifestyle 01/FRQ_XMAS_LIGHTS 59.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758023027/Uploads/lifestyle%2001/FRQ_XMAS_LIGHTS%2059.jpg.jpg,2025-09-16T12:43:47.530502
img_5650_EP.jpg,1841737,1651395,.jpg,Uploads/lifestyle 17/img_5650_EP.jpg,https://res.cloudinary.com/dnkcbkdgk/image/upload/v1758024742/Uploads/lifestyle%2017/img_5650_EP.jpg.jpg,2025-09-16T13:12:23.458018
